Input(1) | actual output | predicted output
57.000000  30.890000  34.496553
78.000000  57.930000  59.331426
50.000000  27.310000  26.218262
71.000000  52.170000  51.053135
99.000000  87.080000  84.166299
52.000000  28.820000  28.583488
45.000000  21.620000  20.305197
92.000000  78.200000  75.888008
86.000000  68.350000  68.792330
51.000000  21.930000  27.400875
84.000000  65.410000  66.427104
67.000000  42.940000  46.322683
73.000000  53.210000  53.418361
59.000000  38.180000  36.861779
77.000000  55.070000  58.148813
86.000000  71.460000  68.792330
53.000000  31.620000  29.766101
65.000000  45.380000  43.957457
74.000000  57.100000  54.600974
68.000000  50.740000  47.505296
80.000000  61.220000  61.696652
74.000000  58.610000  54.600974
62.000000  39.040000  40.409618
77.000000  53.820000  58.148813
76.000000  53.170000  56.966200
84.000000  64.100000  66.427104
85.000000  64.220000  67.609717
68.000000  47.730000  47.505296
77.000000  58.720000  58.148813
55.000000  29.530000  32.131327
76.000000  59.410000  56.966200
54.000000  27.990000  30.948714
85.000000  61.820000  67.609717
81.000000  64.360000  62.879265
82.000000  62.850000  64.061878
84.000000  68.280000  66.427104
61.000000  37.300000  39.227005
72.000000  50.010000  52.235748
77.000000  59.870000  58.148813
81.000000  64.230000  62.879265
69.000000  47.780000  48.687909
59.000000  36.710000  36.861779
77.000000  56.430000  58.148813
84.000000  63.630000  66.427104
60.000000  35.060000  38.044392
54.000000  27.410000  30.948714
66.000000  40.650000  45.140070
90.000000  75.940000  73.522782
80.000000  63.460000  61.696652
59.000000  32.290000  36.861779
68.000000  45.890000  47.505296
64.000000  40.570000  42.774844
81.000000  62.120000  62.879265
61.000000  38.210000  39.227005
68.000000  49.370000  47.505296
67.000000  44.850000  46.322683
79.000000  67.420000  60.514039
68.000000  43.730000  47.505296
71.000000  49.340000  51.053135
97.000000  82.500000  81.801073
82.000000  66.150000  64.061878
75.000000  57.840000  55.783587
82.000000  66.570000  64.061878
82.000000  63.410000  64.061878
48.000000  24.680000  23.853036
58.000000  36.110000  35.679166
73.000000  51.820000  53.418361
66.000000  51.750000  45.140070
74.000000  50.640000  54.600974
55.000000  27.680000  32.131327
61.000000  39.420000  39.227005
74.000000  55.280000  54.600974
83.000000  65.540000  65.244491
72.000000  51.260000  52.235748
68.000000  49.600000  47.505296
59.000000  37.500000  36.861779
78.000000  60.330000  59.331426
95.000000  78.200000  79.435847
81.000000  59.470000  62.879265
80.000000  65.420000  61.696652
77.000000  60.860000  58.148813
82.000000  61.850000  64.061878
85.000000  68.280000  67.609717
68.000000  41.680000  47.505296
78.000000  61.220000  59.331426
83.000000  64.380000  65.244491
85.000000  67.930000  67.609717
70.000000  48.820000  49.870522
76.000000  59.690000  56.966200
96.000000  80.020000  80.618460
81.000000  62.320000  62.879265
80.000000  64.450000  61.696652
92.000000  75.600000  75.888008
93.000000  79.760000  77.070621
85.000000  67.880000  67.609717
69.000000  41.740000  48.687909
67.000000  45.260000  46.322683
64.000000  40.940000  42.774844
53.000000  25.710000  29.766101
75.000000  58.850000  55.783587
59.000000  38.470000  36.861779
85.000000  70.300000  67.609717
95.000000  80.980000  79.435847
70.000000  49.950000  49.870522
66.000000  45.420000  45.140070
94.000000  75.700000  78.253234
87.000000  65.190000  69.974943
81.000000  62.360000  62.879265
101.000000  85.020000  86.531525
